Código,Nome,Volume,Última (R$),Variação
PDTC3,Padtec,22.200,2,35,-0,84%
OIBR4,Oi,19.100,2,40,+0,42%
TASA3,Taurus,17.400,15,06,-1,31%
CEDO4,Cedro Têxtil,15.400,7,63,+1,87%
EALT4,Electro Aço Altona,14.800,8,16,-3,09%
ALUP3,Alupar,14.700,9,74,-0,41%
BPAC3,Banco BTG Pactual,14.300,13,20,-3,23%
TELB4,Telebras,14.000,14,80,-1,33%
ALUP4,Alupar,13.000,9,73,-0,21%
PMAM3,Paranapanema,13.000,4,45,+0,45%
ENGI4,Energisa,12.800,7,80,-0,51%
EUCA4,Eucatex,12.500,10,32,-1,43%
TEKA4,Teka,11.500,12,06,-9,26%
CTNM3,Coteminas,11.400,10,66,+10,24%
BRSR3,Banrisul,10.700,13,15,+0,46%
EUCA3,Eucatex,10.400,13,40,-8,22%
HOOT4,Hotéis Othon,10.400,1,95,+0,52%
CRPG5,Tronox Pigmentos,10.100,37,55,-2,69%
UNIP3,Unipar,10.000,66,71,-1,04%
ALPA3,Alpargatas,9.300,10,69,-1,84%
ATOM3,ATOM,9.300,2,47,-0,80%
APER3,Alper,9.200,29,25,-1,58%
BAHI3,Bahema,8.900,8,50,-6,49%
BIOM3,Biomm,7.800,6,50,+0,15%
SNSY3,Sansuy,7.800,4,81,+8,09%
WHRL4,Whirlpool,7.700,4,53,-0,22%
DOHL4,Döhler,7.400,5,63,-1,23%
OFSA3,Ourofino Saúde Animal,7.000,23,10,-2,98%
BMEB4,Banco Mercantil do Brasil,7.000,10,05,-1,47%
BRKM3,Braskem,6.400,22,87,-1,63%
CEBR6,CEB,6.100,12,70,-0,78%
CGRA4,Grazziotin,6.000,28,40,-1,42%
RAPT3,Randon,5.700,9,20,+0,33%
REDE3,Rede Energia,5.500,5,85,-0,34%
CTSA3,Santanense,5.500,3,64,-7,38%
JFEN3,João Fortes,5.500,2,29,-0,87%
OSXB3,OSX Brasil,5.200,4,18,+0,72%
RSUL4,Metalúrgica Riosulense,4.700,65,12,-6,96%
ENGI3,Energisa,4.300,13,00,-0,61%
BEES4,Banestes,3.500,8,95,+1,02%
SCAR3,São Carlos,3.400,20,84,+4,20%
WHRL3,Whirlpool,3.100,4,40,-0,90%
CGRA3,Grazziotin,3.000,28,70,-0,52%
PTNT4,Pettenati,2.800,6,53,-3,83%
MERC4,Mercantil do Brasil Financeira,2.700,7,98,-9,83%
MGEL4,Mangels,2.600,13,74,+1,03%
MWET4,Wetzel,2.400,9,88,+0,30%
DEXP4,Dexxos,2.300,9,35,-6,59%
